Unnamed: 0,created_at,user_id,username,tweet,place,near,clean_tweet,tokens,lemma,lemma_sentence,pos_tag,lemma_sentence(with POS),sentiword_analysis,vader_score,textblob_polarity,senti_textblob,senti_wordnet,senti_vader
22,1/6/2021,271601849.0,senoralfie,Definitely an approach to #covid vaccination that should be considered,,London,definitely approach covid vaccination that should considered,"['definitely', 'approach', 'covid', 'vaccination', 'that', 'should', 'considered']","['definitely', 'approach', 'covid', 'vaccination', 'that', 'should', 'considered']",definitely approach covid vaccination that should considered,"[('definitely', 'r'), ('approach', 'v'), ('covid', 'a'), ('vaccination', 'n'), ('that', None), ('should', None), ('considered', 'v')]",  definitely approach covid vaccination that should consider,0.5,0.4019,0.0,0,1,1
25,1/6/2021,993848220.0,mrboltonptpage,@GemCals And all the time .. Covid is waiting in the wings to increase the spike   You watch the infections go up even more now,,London,all time covid waiting wings increase spike you watch infections even more now,"['all', 'time', 'covid', 'waiting', 'wings', 'increase', 'spike', 'you', 'watch', 'infections', 'even', 'more', 'now']","['all', 'time', 'covid', 'waiting', 'wing', 'increase', 'spike', 'you', 'watch', 'infection', 'even', 'more', 'now']",all time covid waiting wing increase spike you watch infection even more now,"[('all', None), ('time', 'n'), ('covid', 'a'), ('waiting', 'n'), ('wings', 'n'), ('increase', 'v'), ('spike', 'a'), ('you', None), ('watch', 'v'), ('infections', 'n'), ('even', 'r'), ('more', 'r'), ('now', 'r')]",  all time covid waiting wing increase spike you watch infection even more now,0.25,0.3182,0.5,1,1,1
32,1/6/2021,281141967.0,sssshort,"@Drewnavis1991 @Lil_Ash @piersmorgan @CosmopolitanUK No no sir, you are mistaken. Your point was if you have ‘too much’ fat, you cannot be healthy. Covid was merely one point of your initially tweet. The trouble is you can’t see a ‘fat’ person on a magazine and even for a second believe they are healthy. She’s glorious",,London,no no sir you are mistaken your point was you have too much fat you canot healthy covid was merely one point your initially tweet trouble you not see fat person magazine even for second believe they are healthy she glorious,"['no', 'no', 'sir', 'you', 'are', 'mistaken', 'your', 'point', 'was', 'you', 'have', 'too', 'much', 'fat', 'you', 'canot', 'healthy', 'covid', 'was', 'merely', 'one', 'point', 'your', 'initially', 'tweet', 'trouble', 'you', 'not', 'see', 'fat', 'person', 'magazine', 'even', 'for', 'second', 'believe', 'they', 'are', 'healthy', 'she', 'glorious']","['no', 'no', 'sir', 'you', 'are', 'mistaken', 'your', 'point', 'wa', 'you', 'have', 'too', 'much', 'fat', 'you', 'canot', 'healthy', 'covid', 'wa', 'merely', 'one', 'point', 'your', 'initially', 'tweet', 'trouble', 'you', 'not', 'see', 'fat', 'person', 'magazine', 'even', 'for', 'second', 'believe', 'they', 'are', 'healthy', 'she', 'glorious']",no no sir you are mistaken your point wa you have too much fat you canot healthy covid wa merely one point your initially tweet trouble you not see fat person magazine even for second believe they are healthy she glorious,"[('no', None), ('no', None), ('sir', 'n'), ('you', None), ('are', None), ('mistaken', 'v'), ('your', None), ('point', 'n'), ('was', None), ('you', None), ('have', 'v'), ('too', 'r'), ('much', 'a'), ('fat', 'n'), ('you', None), ('canot', 'v'), ('healthy', 'a'), ('covid', 'n'), ('was', None), ('merely', 'r'), ('one', None), ('point', 'n'), ('your', None), ('initially', 'r'), ('tweet', 'a'), ('trouble', 'n'), ('you', None), ('not', None), ('see', 'v'), ('fat', 'a'), ('person', 'n'), ('magazine', 'n'), ('even', 'r'), ('for', None), ('second', 'a'), ('believe', 'v'), ('they', None), ('are', None), ('healthy', 'a'), ('she', None), ('glorious', 'a')]",  no no sir you are mistake your point was you have too much fat you canot healthy covid was merely one point your initially tweet trouble you not see fat person magazine even for second believe they are healthy she glorious,1.375,0.7497,0.071428571,1,1,1
33,1/6/2021,1.1e+18,kraychaudhuri1,@KP24 nothing kevin . jealous.  wish i was there doing some conservation work . but have to be in front line here abs today had to treat a covid denier !!!,,London,nothing kevin jealous wish was there doing some conservation work but have front line here abs today had treat covid denier,"['nothing', 'kevin', 'jealous', 'wish', 'was', 'there', 'doing', 'some', 'conservation', 'work', 'but', 'have', 'front', 'line', 'here', 'abs', 'today', 'had', 'treat', 'covid', 'denier']","['nothing', 'kevin', 'jealous', 'wish', 'wa', 'there', 'doing', 'some', 'conservation', 'work', 'but', 'have', 'front', 'line', 'here', 'ab', 'today', 'had', 'treat', 'covid', 'denier']",nothing kevin jealous wish wa there doing some conservation work but have front line here ab today had treat covid denier,"[('nothing', None), ('kevin', 'a'), ('jealous', 'a'), ('wish', 'n'), ('was', None), ('there', 'r'), ('doing', 'v'), ('some', None), ('conservation', 'n'), ('work', 'n'), ('but', None), ('have', 'v'), ('front', 'a'), ('line', 'n'), ('here', 'r'), ('abs', 'n'), ('today', 'n'), ('had', None), ('treat', 'v'), ('covid', 'a'), ('denier', 'a')]",  nothing kevin jealous wish was there do some conservation work but have front line here ab today had treat covid denier,0.75,0.1055,0.0,0,1,1
35,1/6/2021,20433313.0,howiejk,@ElmslieEnder @JeremyAlbert20 I like the post covid mask look,,London,like post covid mask look,"['like', 'post', 'covid', 'mask', 'look']","['like', 'post', 'covid', 'mask', 'look']",like post covid mask look,"[('like', None), ('post', 'v'), ('covid', 'a'), ('mask', 'n'), ('look', 'n')]",  like post covid mask look,0.0,0.3612,0.0,0,0,1
36,1/6/2021,364427658.0,finryan_,Man remember summer 2019.... the weather was probably shit but no #covid &amp; we kind of just laughed at #Trump every now and again.....,,London,man remember summer weather was probably shit but no covid amp kind just laughed trump every now again,"['man', 'remember', 'summer', 'weather', 'was', 'probably', 'shit', 'but', 'no', 'covid', 'amp', 'kind', 'just', 'laughed', 'trump', 'every', 'now', 'again']","['man', 'remember', 'summer', 'weather', 'wa', 'probably', 'shit', 'but', 'no', 'covid', 'amp', 'kind', 'just', 'laughed', 'trump', 'every', 'now', 'again']",man remember summer weather wa probably shit but no covid amp kind just laughed trump every now again,"[('man', 'n'), ('remember', 'v'), ('summer', 'n'), ('weather', 'n'), ('was', None), ('probably', 'r'), ('shit', 'a'), ('but', None), ('no', None), ('covid', 'a'), ('amp', None), ('kind', 'n'), ('just', 'r'), ('laughed', 'v'), ('trump', 'n'), ('every', None), ('now', 'r'), ('again', 'r')]",  man remember summer weather was probably shit but no covid amp kind just laugh trump every now again,0.0,0.7506,0.233333333,1,0,1
39,1/6/2021,305248924.0,happywombelle,@GbdocTChost Definitely getting to the front on the queue for a COVID19 vaccine. #gbdoc,,London,definitely getting front queue for covid vaccine gbdoc,"['definitely', 'getting', 'front', 'queue', 'for', 'covid', 'vaccine', 'gbdoc']","['definitely', 'getting', 'front', 'queue', 'for', 'covid', 'vaccine', 'gbdoc']",definitely getting front queue for covid vaccine gbdoc,"[('definitely', 'r'), ('getting', 'v'), ('front', 'a'), ('queue', 'n'), ('for', None), ('covid', 'a'), ('vaccine', 'n'), ('gbdoc', 'n')]",  definitely get front queue for covid vaccine gbdoc,0.375,0.4019,0.0,0,1,1
40,1/6/2021,347775580.0,morelandjo,"@KDRC_2020 My friend aged 28 was climbing mountains in Norway in the spring, he cycled 35k a week and regularly trained for marathons. He got Covid and now can't walk more than 4 steps without support. The long Covid patients are mostly under 50.",,London,friend aged was climbing mountains norway spring cycled week regularly trained for marathons got covid now not walk more than steps without support long covid patients are mostly under,"['friend', 'aged', 'was', 'climbing', 'mountains', 'norway', 'spring', 'cycled', 'week', 'regularly', 'trained', 'for', 'marathons', 'got', 'covid', 'now', 'not', 'walk', 'more', 'than', 'steps', 'without', 'support', 'long', 'covid', 'patients', 'are', 'mostly', 'under']","['friend', 'aged', 'wa', 'climbing', 'mountain', 'norway', 'spring', 'cycled', 'week', 'regularly', 'trained', 'for', 'marathon', 'got', 'covid', 'now', 'not', 'walk', 'more', 'than', 'step', 'without', 'support', 'long', 'covid', 'patient', 'are', 'mostly', 'under']",friend aged wa climbing mountain norway spring cycled week regularly trained for marathon got covid now not walk more than step without support long covid patient are mostly under,"[('friend', 'n'), ('aged', 'v'), ('was', None), ('climbing', 'v'), ('mountains', 'n'), ('norway', None), ('spring', 'n'), ('cycled', 'v'), ('week', 'n'), ('regularly', 'r'), ('trained', 'v'), ('for', None), ('marathons', 'n'), ('got', 'v'), ('covid', 'a'), ('now', 'r'), ('not', None), ('walk', 'v'), ('more', 'a'), ('than', None), ('steps', 'n'), ('without', None), ('support', 'n'), ('long', 'a'), ('covid', 'a'), ('patients', 'n'), ('are', None), ('mostly', 'r'), ('under', None)]",  friend age was climb mountain norway spring cycle week regularly train for marathon get covid now not walk more than step without support long covid patient are mostly under,0.75,0.2363,0.2375,1,1,1
46,1/6/2021,4798767797.0,mfenderesky,Introducing our newest addition to our @NorthMidNHS rapid PCR COVID testing portfolio @biocartis.Testing all admissions rapidly to ensure safe patient placement &amp; flow through ED.. when you have 80 plus admissions/ day.. that’s a lot! @JustinDaniels15 @highlight18 @Dhruv_Rastogi  https://t.co/lA8svLO5oT,,London,introducing our newest addition our rapid pcr covid testing portfolio testing all admissions rapidly ensure safe patient placement amp flow through when you have plus admissions day that lot,"['introducing', 'our', 'newest', 'addition', 'our', 'rapid', 'pcr', 'covid', 'testing', 'portfolio', 'testing', 'all', 'admissions', 'rapidly', 'ensure', 'safe', 'patient', 'placement', 'amp', 'flow', 'through', 'when', 'you', 'have', 'plus', 'admissions', 'day', 'that', 'lot']","['introducing', 'our', 'newest', 'addition', 'our', 'rapid', 'pcr', 'covid', 'testing', 'portfolio', 'testing', 'all', 'admission', 'rapidly', 'ensure', 'safe', 'patient', 'placement', 'amp', 'flow', 'through', 'when', 'you', 'have', 'plus', 'admission', 'day', 'that', 'lot']",introducing our newest addition our rapid pcr covid testing portfolio testing all admission rapidly ensure safe patient placement amp flow through when you have plus admission day that lot,"[('introducing', 'v'), ('our', None), ('newest', 'a'), ('addition', 'n'), ('our', None), ('rapid', 'a'), ('pcr', 'a'), ('covid', 'a'), ('testing', 'n'), ('portfolio', 'n'), ('testing', 'v'), ('all', None), ('admissions', 'n'), ('rapidly', 'r'), ('ensure', 'v'), ('safe', 'a'), ('patient', 'a'), ('placement', 'n'), ('amp', 'n'), ('flow', 'n'), ('through', None), ('when', None), ('you', None), ('have', 'v'), ('plus', None), ('admissions', 'n'), ('day', 'n'), ('that', None), ('lot', 'n')]",  introduce our new addition our rapid pcr covid testing portfolio test all admission rapidly ensure safe patient placement amp flow through when you have plus admission day that lot,1.25,0.6705,0.318181818,1,1,1
47,1/6/2021,890665010.0,domskech,Just entering my 3rd week of Covid... Starting to feel my energy returning.  Board games have kept me sane  #cameleon @bigpotatogames  #yahzee #tickettoride @days_of_wonder  #coronavirusuk #COVID19  https://t.co/8KuKTwF3Kp,,London,just entering week covid starting feel energy returning board games have kept sane cameleon yahze ticketoride coronavirusuk covid,"['just', 'entering', 'week', 'covid', 'starting', 'feel', 'energy', 'returning', 'board', 'games', 'have', 'kept', 'sane', 'cameleon', 'yahze', 'ticketoride', 'coronavirusuk', 'covid']","['just', 'entering', 'week', 'covid', 'starting', 'feel', 'energy', 'returning', 'board', 'game', 'have', 'kept', 'sane', 'cameleon', 'yahze', 'ticketoride', 'coronavirusuk', 'covid']",just entering week covid starting feel energy returning board game have kept sane cameleon yahze ticketoride coronavirusuk covid,"[('just', 'r'), ('entering', 'v'), ('week', 'n'), ('covid', 'n'), ('starting', 'n'), ('feel', 'v'), ('energy', 'n'), ('returning', 'v'), ('board', 'n'), ('games', 'n'), ('have', None), ('kept', 'v'), ('sane', 'a'), ('cameleon', None), ('yahze', None), ('ticketoride', 'n'), ('coronavirusuk', None), ('covid', 'n')]",  just enter week covid starting feel energy return board game have keep sane cameleon yahze ticketoride coronavirusuk covid,0.625,0.2732,-0.2,-1,1,1
52,1/6/2021,20093742.0,sheena81,To all my MS friends please have a read of this if you haven't already.   Main thing is to get the vaccine when offered   #ms #mslife #covid #covidMS #vaccination,,London,all friends please have read this you have not already main thing get vaccine when offered mslife covid covidms vaccination,"['all', 'friends', 'please', 'have', 'read', 'this', 'you', 'have', 'not', 'already', 'main', 'thing', 'get', 'vaccine', 'when', 'offered', 'mslife', 'covid', 'covidms', 'vaccination']","['all', 'friend', 'please', 'have', 'read', 'this', 'you', 'have', 'not', 'already', 'main', 'thing', 'get', 'vaccine', 'when', 'offered', 'mslife', 'covid', 'covidms', 'vaccination']",all friend please have read this you have not already main thing get vaccine when offered mslife covid covidms vaccination,"[('all', None), ('friends', 'n'), ('please', None), ('have', None), ('read', 'v'), ('this', None), ('you', None), ('have', None), ('not', None), ('already', 'r'), ('main', 'a'), ('thing', 'n'), ('get', 'v'), ('vaccine', 'n'), ('when', None), ('offered', 'v'), ('mslife', 'n'), ('covid', 'a'), ('covidms', 'a'), ('vaccination', 'n')]",  all friend please have read this you have not already main thing get vaccine when offer mslife covid covidms vaccination,0.875,0.6705,0.166666667,1,1,1
54,1/6/2021,231763336.0,mazza6069,@Missmai_lily @TheofficialDund Thanks Lily. Must have been a less powerful strain...or only a small viral load  Wouldn’t wish #COVID19 on anyone.,,London,thanks lily must have been less powerful strain only small viral load would not wish covid anyone,"['thanks', 'lily', 'must', 'have', 'been', 'less', 'powerful', 'strain', 'only', 'small', 'viral', 'load', 'would', 'not', 'wish', 'covid', 'anyone']","['thanks', 'lily', 'must', 'have', 'been', 'less', 'powerful', 'strain', 'only', 'small', 'viral', 'load', 'would', 'not', 'wish', 'covid', 'anyone']",thanks lily must have been less powerful strain only small viral load would not wish covid anyone,"[('thanks', 'n'), ('lily', 'r'), ('must', None), ('have', None), ('been', None), ('less', 'r'), ('powerful', 'a'), ('strain', 'n'), ('only', 'r'), ('small', 'a'), ('viral', 'a'), ('load', 'n'), ('would', None), ('not', None), ('wish', 'v'), ('covid', 'v'), ('anyone', None)]",  thanks lily must have been less powerful strain only small viral load would not wish covid anyone,-0.25,0.4985,0.016666667,1,-1,1
